1264
representative court,0
answering task,1
identifying output,2
neural model,3
eu,4
label legal text classification,5
document,6
public document,7
resulting,8
ante,9
means,10
thousand,11
state court,12
article,13
replacing,14
binary violation classification,15
consisting,16
ranking svm,17
answering using,18
novel method,19
lawsuit,20
supervised machine,21
regressive transformer,22
information,23
corresponding,24
technical domain,25
eurlex dataset,26
patent classification benchmark,27
information retrieval task,28
high accuracy,29
performance,30
domain name dispute,31
law,32
result,33
technique,34
query case,35
authority,36
previous feature,37
other state,38
judge,39
finding,40
forum,41
janeiro jurisprudence database,42
survey,43
state,44
tax,45
length limitation,46
language resources,47
majority,48
art patent classifier,49
provided summary,50
topic modelling,51
extended form,52
translation system,53
legal judgment prediction dataset,54
legal documents,55
decision support,56
legal task,57
entailment,58
ranking svm information retrieval component,59
argumentation,60
appropriate cluster,61
victor,62
ruling,63
vast majority,64
raw utility patent,65
national implementing,66
concept system,67
neural machine,68
memory network,69
unsupervised semantic similarity,70
word model,71
judicial opinion,72
other open public dataset,73
establishing,74
factual background,75
shot charge,76
provider,77
argumentative sentence,78
intersection method,79
german tax law,80
textual entailment component,81
tune,82
relevant literature,83
extreme multi label text classification,84
appropriate cluster identification,85
engine,86
observation,87
particular type system,88
main topic,89
ranking,90
number,91
supporting case,92
annotating sentence,93
modification,94
human validation,95
genuine opinion,96
previous study,97
prediction,98
relationship,99
art patent,100
progress,101
edge,102
full text,103
description,104
data,105
california state,106
neural network,107
replacing cnns,108
citing text,109
releasing,110
clustering,111
pli,112
topical relevance,113
similarity search,114
expert,115
set,116
supporting,117
language model,118
legal information processing,119
speech,120
potential problem,121
german bundesgerichtshof,122
motion,123
future system,124
ability,125
unseen query,126
retrieval system performance,127
applying,128
deep convolutional neural network,129
simpler wipo,130
extreme multi label legal text classification,131
various frame,132
expertise,133
learning algorithm,134
neural language,135
contract,136
clef,137
potential,138
based model,139
relevant document,140
modificatory provisions,141
legal question answering,142
management,143
legal case retrieval task,144
category,145
editing analysis,146
citing,147
framing strategy,148
svm information retrieval component,149
ip,150
57k,151
anonymization,152
outcome,153
aspect,154
country,155
learning approach,156
natural language,157
government,158
alternative solution,159
legal question,160
different kind,161
argument,162
entity reference representation,163
keyword query,164
called intersection method,165
editing dataset,166
